Title,Color,Genre,Language,Country,Rating,Lead Actor,DirectorName,LeadActorFBLikes,CastFBLikes,DirectorFBLikes,MovieFBLikes,IMDbScore,TotalReviews,Duration,GrossRevenue,Budget,NetProfit,ReleaseYear,ReleaseMonth
Excessive Force,Color,Action,English,USA,R,Burt Young,Jon Hess,683,1139,29,107,5.1,19,87,1200000,3000000,-1800000,1993,7
Gettysburg,Color,Drama,English,USA,PG,Tom Berenger,Ron Maxwell,854,2107,33,0,7.7,22,271,10769960,25000000,-14230040,1993,6
Groundhog Day,Color,Comedy,English,USA,PG,Bill Murray,Harold Ramis,13000,15500,11000,38000,8.1,147,101,70906973,14600000,56306973,1993,5
Hocus Pocus,Color,Comedy,English,USA,PG,Vinessa Shaw,Kenny Ortega,580,1275,197,16000,6.7,36,96,39514713,28000000,11514713,1993,6
Jason Goes to Hell: The Final Friday,Color,Fantasy,English,USA,R,Kane Hodder,Adam Marcus,935,2899,18,949,4.3,112,91,15935068,2500000,13435068,1993,7
Jurassic Park,Color,Adventure,English,USA,PG-13,Wayne Knight,Steven Spielberg,967,2129,14000,19000,8.1,308,127,356784000,63000000,293784000,1993,8
Killing Zoe,Color,Crime,English,France,R,Eric Stoltz,Roger Avary,902,1582,675,853,6.5,37,99,418953,1500000,-1081047,1993,3
Last Action Hero,Color,Action,English,USA,PG-13,F. Murray Abraham,John McTiernan,670,2407,323,0,6.2,80,130,50016394,70000000,-19983606,1993,8
Les visiteurs,Color,Comedy,French,France,R,Christian Clavier,Jean-Marie Poiré,106,215,8,0,7.0,16,107,700000,50000000,-49300000,1993,5
Loaded Weapon 1,Color,Action,English,USA,PG-13,Jon Lovitz,Gene Quintano,11000,12322,0,0,6.1,19,84,27979400,8200000,19779400,1993,7
Madadayo,Color,Drama,Japanese,Japan,Not Rated,Tatsuo Matsumura,Akira Kurosawa,15,30,0,355,7.5,25,134,48856,11900000,-11851144,1993,9
Menace II Society,Color,Crime,English,USA,R,Jada Pinkett Smith,Albert Hughes,851,3036,117,0,7.5,28,97,27900000,3500000,24400000,1993,8
Mrs. Doubtfire,Color,Comedy,English,USA,PG-13,Robin Williams,Chris Columbus,49000,52201,0,0,6.9,57,125,219200000,25000000,194200000,1993,9
Much Ado About Nothing,Color,Comedy,English,UK,PG-13,Keanu Reeves,Kenneth Branagh,18000,37645,0,0,7.4,41,111,22551000,8000000,14551000,1993,12
Nowhere to Run,Color,Action,English,USA,R,Kieran Culkin,Robert Harmon,1000,2210,11,466,5.5,25,94,22189039,15000000,7189039,1993,9
Only the Strong,Color,Action,English,USA,PG-13,Antoni Corone,Sheldon Lettich,97,382,23,0,6.7,17,99,3273588,6000000,-2726412,1993,4
Philadelphia,Color,Drama,English,USA,PG-13,Denzel Washington,Jonathan Demme,18000,33865,438,0,7.7,68,125,77324422,26000000,51324422,1993,12
Poetic Justice,Color,Drama,English,USA,R,Janet Jackson,John Singleton,592,1620,309,0,5.9,12,109,27515786,14000000,13515786,1993,11
RoboCop 3,Color,Action,English,USA,PG-13,CCH Pounder,Fred Dekker,1000,3148,87,716,3.9,75,104,10696210,23500000,-12803790,1993,6
Romeo Is Bleeding,Color,Action,English,UK,R,Gary Oldman,Peter Medak,10000,13160,34,561,6.6,30,100,3275585,11500000,-8224415,1993,11
Ruby in Paradise,Color,Drama,English,USA,R,Allison Dean,Victor Nunez,159,423,9,81,7.2,11,114,1001437,800000,201437,1993,3
Schindler's List,Black and White,Biography,English,USA,R,Liam Neeson,Steven Spielberg,14000,15233,14000,41000,8.9,174,185,96067179,22000000,74067179,1993,12
Shadowlands,Color,Biography,English,UK,PG,Anthony Hopkins,Richard Attenborough,12000,13619,0,2000,7.4,23,115,25842000,22000000,3842000,1993,9
Sugar Hill,Black and White,Drama,English,USA,R,Khandi Alexander,Leon Ichaso,556,2149,5,331,5.9,14,123,18272447,10000000,8272447,1993,4
Super Mario Bros.,Color,Adventure,English,UK,PG,Bob Hoskins,Annabel Jankel,5000,7723,5,0,4.0,36,104,20915465,42000000,-21084535,1993,3
Teenage Mutant Ninja Turtles III,Color,Action,English,USA,PG,Paige Turco,Stuart Gillard,533,1254,8,1000,4.8,60,96,42660000,17000000,25660000,1993,5
The Adventures of Huck Finn,Color,Adventure,English,USA,PG,Curtis Armstrong,Stephen Sommers,876,4840,208,391,6.2,14,108,24103594,6500000,17603594,1993,10
The Age of Innocence,Color,Drama,English,USA,PG,Richard E. Grant,Martin Scorsese,554,1068,17000,0,7.2,56,139,32000000,30000000,2000000,1993,6
The Firm,Color,Drama,English,USA,R,Tom Cruise,Sydney Pollack,10000,14244,521,0,6.8,56,154,158348400,42000000,116348400,1993,10
The Fugitive,Color,Action,English,USA,PG-13,Harrison Ford,Andrew Davis,11000,13357,99,0,7.8,119,130,183875760,44000000,139875760,1993,8
The Nutcracker,Color,Family,English,USA,G,Darci Kistler,Emile Ardolino,2,2,22,238,5.7,10,92,2119994,19000000,-16880006,1993,2
The Pelican Brief,Color,Crime,English,USA,PG-13,Denzel Washington,Alan J. Pakula,18000,30063,79,0,6.5,43,141,100768056,45000000,55768056,1993,12
The Piano,Color,Drama,English,New Zealand,R,Holly Hunter,Jane Campion,1000,1051,319,0,7.6,83,121,40158000,7000000,33158000,1993,9
The Princess and the Cobbler,Color,Action,English,UK,G,Donald Pleasence,Richard Williams,742,1088,18,408,7.2,10,80,669276,28000000,-27330724,1993,6
The Remains of the Day,Color,Drama,English,UK,PG,Anthony Hopkins,James Ivory,12000,12749,133,0,7.9,58,134,22954968,11500000,11454968,1993,7
Tombstone,Color,Action,English,USA,R,Michael Biehn,George P. Cosmatos,2000,4453,170,11000,7.8,84,134,56505065,25000000,31505065,1993,1
True Romance,Color,Action,English,USA,R,Brad Pitt,Tony Scott,11000,23602,12000,15000,8.0,122,121,12281500,13000000,-718500,1993,5
Warlock: The Armageddon,Color,Fantasy,English,USA,R,Julian Sands,Anthony Hickox,687,1806,16,217,5.3,22,98,3902679,3000000,902679,1993,2
What's Eating Gilbert Grape,Color,Drama,English,USA,PG-13,Johnny Depp,Lasse Hallström,40000,69746,529,14000,7.8,80,118,9170214,11000000,-1829786,1993,5
3 Ninjas Kick Back,Color,Action,English,USA,PG,Victor Wong,Charles T. Kanganis,400,1151,18,444,4.3,5,93,11784000,20000000,-8216000,1994,11
A Low Down Dirty Shame,Color,Action,English,USA,R,Jada Pinkett Smith,Keenen Ivory Wayans,851,3190,322,368,5.8,8,100,29392418,10000000,19392418,1994,1
Ace Ventura: Pet Detective,Color,Comedy,English,USA,PG-13,Sean Young,Tom Shadyac,759,2462,293,0,6.9,61,78,72217000,12000000,60217000,1994,10
Baby's Day Out,Color,Adventure,English,USA,PG,Joe Mantegna,Patrick Read Johnson,1000,2949,32,0,5.9,22,99,16671505,50000000,-33328495,1994,7
Beverly Hills Cop III,Color,Action,English,USA,R,Louis Lombardi,John Landis,437,1093,644,669,5.5,36,104,42610000,55000000,-12390000,1994,11
Bullets Over Broadway,Color,Comedy,English,USA,R,Jim Broadbent,Woody Allen,1000,4302,11000,979,7.5,67,98,13383737,20000000,-6616263,1994,8
Clear and Present Danger,Color,Action,English,USA,PG-13,Harrison Ford,Phillip Noyce,11000,14178,176,0,6.9,42,141,122012710,62000000,60012710,1994,5
Clerks,Black and White,Comedy,English,USA,R,Jason Mewes,Kevin Smith,898,2103,0,0,7.8,136,102,3151130,230000,2921130,1994,5
Crooklyn,Color,Comedy,English,USA,PG-13,Alfre Woodard,Spike Lee,1000,3267,0,905,6.9,25,115,13640000,14000000,-360000,1994,2
Disclosure,Color,Drama,English,USA,R,Demi Moore,Barry Levinson,2000,3888,272,0,6.0,55,128,83000000,55000000,28000000,1994,1
Don Juan DeMarco,Color,Comedy,English,USA,PG-13,Johnny Depp,Jeremy Leven,40000,52122,19,0,6.8,44,97,22200000,25000000,-2800000,1994,4
Dumb & Dumber,Color,Comedy,English,USA,PG-13,Lauren Holly,Peter Farrelly,879,2985,137,0,7.3,84,113,127175354,16000000,111175354,1994,9
Ed Wood,Black and White,Biography,English,USA,R,Johnny Depp,Tim Burton,40000,56585,13000,0,7.9,148,127,5887457,18000000,-12112543,1994,2
Exotica,Color,Drama,English,Canada,R,Bruce Greenwood,Atom Egoyan,991,2990,460,619,7.2,53,103,5132222,2000000,3132222,1994,1
Forrest Gump,Black and White,Comedy,English,USA,PG-13,Tom Hanks,Robert Zemeckis,15000,15700,0,59000,8.8,149,142,329691196,55000000,274691196,1994,11
Four Weddings and a Funeral,Color,Comedy,English,UK,R,Kristin Scott Thomas,Mike Newell,1000,1862,179,0,7.1,84,117,52700832,4500000,48200832,1994,12
Heavenly Creatures,Color,Biography,English,New Zealand,R,Kate Winslet,Peter Jackson,14000,14574,0,0,7.4,93,108,3049135,5000000,-1950865,1994,6
Highlander: The Final Dimension,Color,Action,English,Canada,PG-13,Christopher Lambert,Andrew Morahan,1000,2960,5,319,4.3,32,99,13829734,26000000,-12170266,1994,9
Hoop Dreams,Color,Documentary,English,USA,PG-13,William Gates,Steve James,7,15,23,0,8.3,53,170,7830611,700000,7130611,1994,1
Interview with the Vampire: The Vampire Chronicles,Color,Drama,English,USA,R,Brad Pitt,Neil Jordan,11000,25697,277,11000,7.6,120,123,105264608,60000000,45264608,1994,8
Legends of the Fall,Color,Drama,English,USA,R,Anthony Hopkins,Edward Zwick,12000,26388,380,11000,7.5,57,133,66528842,30000000,36528842,1994,11
Little Women,Color,Drama,English,USA,PG,Christian Bale,Gillian Armstrong,23000,29370,44,0,7.3,27,115,50003300,15000000,35003300,1994,1
Naked Gun 33 1/3: The Final Insult,Color,Comedy,English,USA,PG-13,George Kennedy,Peter Segal,3000,4767,88,1000,6.4,43,83,51109400,30000000,21109400,1994,9
New Nightmare,Color,Fantasy,English,USA,R,Miko Hughes,Wes Craven,969,1775,0,0,6.4,109,107,18090181,8000000,10090181,1994,3
On Deadly Ground,Color,Action,English,USA,R,Mike Starr,Steven Seagal,854,1860,0,812,4.4,47,101,38590500,50000000,-11409500,1994,10
PCU,Color,Comedy,English,USA,PG-13,Jon Favreau,Hart Bochner,4000,4908,157,0,6.5,15,79,4350774,8000000,-3649226,1994,10
Police Academy: Mission to Moscow,Color,Comedy,English,USA,PG,Christopher Lee,Alan Metter,16000,17469,3,321,3.3,17,83,126247,6200000,-6073753,1994,7
Pulp Fiction,Color,Crime,English,USA,R,Bruce Willis,Quentin Tarantino,13000,16557,16000,45000,8.9,215,178,107930000,8000000,99930000,1994,7
Rapa Nui,Color,Action,English,USA,R,Esai Morales,Kevin Reynolds,699,1592,58,399,6.4,9,107,305070,20000000,-19694930,1994,3
Renaissance Man,Color,Comedy,English,USA,PG-13,Ed Begley Jr.,Penny Marshall,783,3126,545,680,6.1,12,128,24332324,40000000,-15667676,1994,6
Ri¢hie Ri¢h,Color,Comedy,English,USA,PG,Macaulay Culkin,Donald Petrie,3000,4634,80,0,5.2,19,95,38087756,40000000,-1912244,1994,11
Serial Mom,Color,Comedy,English,USA,R,Kathleen Turner,John Waters,899,3092,0,3000,6.7,52,95,7881335,13000000,-5118665,1994,2
Speed,Color,Action,English,USA,R,Keanu Reeves,Jan de Bont,18000,20966,101,0,7.2,114,116,121248145,25000000,96248145,1994,7
Star Trek: Generations,Color,Action,English,USA,PG,LeVar Burton,David Carson,1000,6427,18,0,6.6,98,118,75668868,35000000,40668868,1994,11
Street Fighter,Color,Action,English,Japan,PG-13,Ming-Na Wen,Steven E. de Souza,2000,5443,133,0,3.8,63,102,33423521,35000000,-1576479,1994,1
The Client,Color,Crime,English,USA,PG-13,Bradley Whitford,Joel Schumacher,821,4043,541,1000,6.7,39,119,92115211,45000000,47115211,1994,7
The Crow,Color,Action,English,USA,R,Michael Wincott,Alex Proyas,720,2630,295,15000,7.6,118,98,50693162,23000000,27693162,1994,2
The Flintstones,Color,Comedy,English,USA,PG,Jonathan Winters,Brian Levant,924,3244,32,0,4.8,35,91,130512915,45000000,85512915,1994,8
The Hudsucker Proxy,Black and White,Comedy,English,UK,PG,Jennifer Jason Leigh,Joel Coen,1000,2612,0,0,7.3,77,111,2869369,30000000,-27130631,1994,6
The Legend of Drunken Master,Color,Action,Cantonese,Hong Kong,R,Andy Lau,Chia-Liang Liu,483,768,32,0,7.6,77,102,11546543,2000000,9546543,1994,5
The Lion King,Color,Adventure,English,USA,G,Matthew Broderick,Roger Allers,2000,6458,28,17000,8.5,186,73,422783777,45000000,377783777,1994,5
The Mask,Color,Action,English,USA,PG-13,Peter Greene,Chuck Russell,789,2085,55,0,6.9,57,114,119938730,18000000,101938730,1994,1
The River Wild,Color,Action,English,USA,PG-13,Meryl Streep,Curtis Hanson,11000,12161,161,0,6.3,42,111,46815748,45000000,1815748,1994,4
The Santa Clause,Color,Comedy,English,USA,PG,Judge Reinhold,John Pasquin,901,2790,11,0,6.4,64,97,144833357,22000000,122833357,1994,1
The Shadow,Color,Action,English,USA,PG-13,Jonathan Winters,Russell Mulcahy,924,2711,85,0,6.0,70,93,32055248,25000000,7055248,1994,9
The Shawshank Redemption,Color,Crime,English,USA,R,Morgan Freeman,Frank Darabont,11000,13495,0,108000,9.3,199,142,28341469,25000000,3341469,1994,4
The Specialist,Color,Action,English,Peru,R,Sylvester Stallone,Luis Llosa,13000,13331,49,0,5.4,38,110,57362581,45000000,12362581,1994,6
There Goes My Baby,Color,Comedy,English,USA,R,Ricky Schroder,Floyd Mutrux,665,2272,11,119,6.4,5,99,125169,10500000,-10374831,1994,3
Timecop,Color,Action,English,Canada,R,Mia Sara,Peter Hyams,664,2010,0,0,5.8,62,99,44450000,27000000,17450000,1994,3
True Lies,Color,Action,English,USA,R,Jamie Lee Curtis,James Cameron,2000,4528,0,0,7.2,94,141,146282411,115000000,31282411,1994,1
Wolf,Color,Drama,English,USA,R,David Hyde Pierce,Mike Nichols,443,1439,0,0,6.2,59,125,65012000,70000000,-4988000,1994,1
Wyatt Earp,Color,Adventure,English,USA,PG-13,Dennis Quaid,Lawrence Kasdan,2000,5708,759,0,6.6,40,212,25052000,63000000,-37948000,1994,1
Ace Ventura: When Nature Calls,Color,Adventure,English,USA,PG-13,Bruce Spence,Steve Oedekerk,531,2203,176,0,6.3,59,90,108360000,30000000,78360000,1995,10
Apollo 13,Color,Adventure,English,USA,PG,Tom Hanks,Ron Howard,15000,17171,2000,5000,7.6,159,140,172071312,62000000,110071312,1995,8
Assassins,Black and White,Action,English,France,R,Muse Watson,Richard Donner,45000,58528,503,0,6.3,61,132,30306268,50000000,-19693732,1995,2
Babe,Color,Comedy,English,Australia,G,Miriam Margolyes,Chris Noonan,405,1185,108,5000,6.8,79,91,66600000,30000000,36600000,1995,6
Bad Boys,Color,Action,English,USA,R,Will Smith,Michael Bay,10000,11013,0,0,6.8,63,119,65807024,19000000,46807024,1995,11
Batman Forever,Color,Action,English,USA,PG-13,Michael Gough,Joel Schumacher,920,2880,541,0,5.4,144,121,184031112,100000000,84031112,1995,3
Before Sunrise,Color,Drama,English,USA,R,Hanno Pöschl,Richard Linklater,15,36,0,22000,8.1,121,105,5400000,2500000,2900000,1995,2
Braveheart,Color,Biography,English,USA,R,Mhairi Calvey,Mel Gibson,906,1976,0,17000,8.4,132,178,75600000,72000000,3600000,1995,2
Casino,Color,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000,24183,17000,11000,8.2,133,178,42438300,52000000,-9561700,1995,7
Casper,Color,Comedy,English,USA,PG,Eric Idle,Brad Silberling,795,2638,52,0,6.0,26,100,100328194,50000000,50328194,1995,7
Clueless,Color,Comedy,English,USA,PG-13,Donald Faison,Amy Heckerling,927,1724,143,0,6.8,88,97,56631572,12000000,44631572,1995,11
Congo,Color,Action,English,USA,PG-13,Dylan Walsh,Frank Marshall,426,1761,155,0,5.0,55,109,81022333,50000000,31022333,1995,8
Copycat,Color,Crime,English,USA,R,William McNamara,Jon Amiel,10000,12338,36,0,6.6,57,123,32051917,20000000,12051917,1995,11
Crimson Tide,Color,Action,English,USA,R,Denzel Washington,Tony Scott,18000,30132,12000,0,7.3,82,123,91400000,53000000,38400000,1995,1
Cutthroat Island,Color,Action,English,USA,PG-13,Christopher Masterson,Renny Harlin,1000,3611,212,1000,5.6,61,124,11000000,98000000,-87000000,1995,6
Dead Man Walking,Color,Crime,English,UK,R,Lois Smith,Tim Robbins,276,903,0,0,7.6,77,122,39025000,11000000,28025000,1995,9
Desperado,Color,Action,English,USA,R,Quentin Tarantino,Robert Rodriguez,16000,33758,0,0,7.2,93,104,25625110,7000000,18625110,1995,1
Die Hard with a Vengeance,Color,Action,English,USA,R,Bruce Willis,John McTiernan,13000,14274,323,0,7.6,148,128,100012500,90000000,10012500,1995,1
First Knight,Color,Action,English,USA,PG-13,Julia Ormond,Jerry Zucker,919,1695,109,0,5.9,53,134,37600435,55000000,-17399565,1995,1
Four Rooms,Color,Comedy,English,USA,R,Salma Hayek,Allison Anders,4000,7921,99,0,6.7,51,110,4301331,4000000,301331,1995,8
Friday,Black and White,Comedy,English,USA,R,Nia Long,F. Gary Gray,826,3455,473,8000,7.3,20,97,27900000,3500000,24400000,1995,7
Get Shorty,Color,Comedy,English,USA,R,Delroy Lindo,Barry Sonnenfeld,848,3439,188,0,6.9,96,105,72077000,30250000,41827000,1995,2
GoldenEye,Color,Action,English,UK,PG-13,Izabella Scorupco,Martin Campbell,394,1784,258,0,7.2,137,130,106635996,58000000,48635996,1995,6
Hackers,Color,Comedy,English,USA,PG-13,Angelina Jolie Pitt,Iain Softley,11000,13821,34,12000,6.2,79,107,7564000,20000000,-12436000,1995,11
Halloween: The Curse of Michael Myers,Color,Horror,English,USA,R,Donald Pleasence,Joe Chappelle,742,1227,13,0,4.9,123,93,15126948,5000000,10126948,1995,5
Home for the Holidays,Color,Comedy,English,USA,PG-13,Robert Downey Jr.,Jodie Foster,21000,25263,0,0,6.6,45,103,17518220,20000000,-2481780,1995,7
Jade,Color,Crime,English,USA,R,Michael Biehn,William Friedkin,2000,5461,607,422,5.1,50,107,9795017,50000000,-40204983,1995,10
Jefferson in Paris,Color,Biography,English,France,PG-13,Seth Gilliam,James Ivory,423,446,133,127,5.7,20,139,2474000,14000000,-11526000,1995,11
Kids,Color,Drama,English,USA,Not Rated,Rosario Dawson,Larry Clark,3000,3310,184,0,7.0,71,91,7417210,1500000,5917210,1995,12
Kiss of Death,Color,Action,English,USA,R,Nicolas Cage,Barbet Schroeder,12000,14008,58,555,5.9,40,101,14942422,40000000,-25057578,1995,10
Leaving Las Vegas,Color,Drama,English,USA,R,Nicolas Cage,Mike Figgis,12000,14823,81,0,7.6,123,111,31968347,3600000,28368347,1995,12
Mallrats,Color,Comedy,English,USA,R,Ethan Suplee,Kevin Smith,1000,3254,0,0,7.2,93,123,2122561,6000000,-3877439,1995,4
Money Train,Color,Action,English,USA,R,Vincent Pastore,Joseph Ruben,584,1132,29,617,5.6,40,105,35324232,68000000,-32675768,1995,8
Mortal Kombat,Color,Action,English,USA,PG-13,Christopher Lambert,Paul W.S. Anderson,1000,3816,545,0,5.8,72,101,70360285,18000000,52360285,1995,5
Mr. Holland's Opus,Color,Drama,English,USA,PG,Alicia Witt,Stephen Herek,975,2223,65,0,7.3,42,143,82528097,6500000,76028097,1995,9
Nixon,Black and White,Biography,English,USA,R,Anthony Hopkins,Oliver Stone,12000,21130,0,915,7.1,83,212,13560960,50000000,-36439040,1995,7
Outbreak,Color,Action,English,USA,R,Kevin Spacey,Wolfgang Petersen,18000,30383,249,0,6.6,64,127,67823573,50000000,17823573,1995,12
Pocahontas,Color,Adventure,English,USA,G,Christian Bale,Mike Gabriel,23000,26754,12,0,6.6,92,84,141600000,55000000,86600000,1995,11
Richard III,Color,Drama,English,UK,R,Robert Downey Jr.,Richard Loncraine,21000,23962,12,0,7.5,56,104,2600000,6000000,-3400000,1995,6
Rob Roy,Color,Adventure,English,USA,R,Liam Neeson,Michael Caton-Jones,14000,16125,105,0,6.9,44,139,31600000,28000000,3600000,1995,7
Rumble in the Bronx,Color,Action,Cantonese,Hong Kong,R,Françoise Yip,Stanley Tong,186,407,7,0,6.7,62,89,32333860,7500000,24833860,1995,11
Se7en,Color,Crime,English,USA,R,Morgan Freeman,David Fincher,11000,22678,21000,39000,8.6,216,127,100125340,33000000,67125340,1995,11
Sense and Sensibility,Color,Drama,English,USA,PG,Alan Rickman,Ang Lee,25000,41059,0,0,7.7,69,136,42700000,16500000,26200000,1995,3
Showgirls,Color,Drama,English,France,NC-17,Bobbie Phillips,Paul Verhoeven,16000,18913,719,0,4.6,181,131,20302961,45000000,-24697039,1995,12
Species,Color,Action,English,USA,R,Natasha Henstridge,Roger Donaldson,900,1715,79,0,5.8,97,108,60054449,35000000,25054449,1995,7
Tales from the Crypt: Demon Knight,Color,Action,English,USA,R,CCH Pounder,Ernest R. Dickerson,1000,3931,226,0,6.7,66,92,21088568,13000000,8088568,1995,7
Tales from the Hood,Color,Comedy,English,USA,R,Corbin Bernsen,Rusty Cundieff,1000,3221,38,985,6.1,25,98,11797927,6000000,5797927,1995,11
Tank Girl,Color,Action,English,USA,R,Naomi Watts,Rachel Talalay,6000,9662,54,0,5.2,60,104,4064333,25000000,-20935667,1995,7
The American President,Color,Comedy,English,USA,PG-13,Shawna Waldron,Rob Reiner,524,2668,0,0,6.8,75,114,65000000,62000000,3000000,1995,12
The Bridges of Madison County,Color,Drama,English,USA,PG-13,Clint Eastwood,Clint Eastwood,16000,27237,16000,0,7.5,69,135,70960517,35000000,35960517,1995,12
The Brothers McMullen,Color,Comedy,English,USA,R,Shari Albert,Edward Burns,138,388,0,265,6.6,36,98,10246600,25000,10221600,1995,7
The Incredibly True Adventure of Two Girls in Love,Color,Comedy,English,USA,R,Nicole Ari Parker,Maria Maggenti,360,656,4,423,6.5,23,94,1977544,250000,1727544,1995,11
The Indian in the Cupboard,Color,Drama,English,USA,PG,Steve Coogan,Frank Oz,1000,2965,0,0,5.9,25,96,35617599,45000000,-9382401,1995,12
The Net,Color,Action,English,USA,PG-13,Ken Howard,Irwin Winkler,649,1725,34,0,5.8,53,114,50728000,22000000,28728000,1995,7
The Perez Family,Color,Comedy,English,USA,R,Anjelica Huston,Mira Nair,1000,3072,300,174,6.2,15,113,2832826,11000000,-8167174,1995,1
The Prophecy,Color,Action,English,USA,R,Viggo Mortensen,Gregory Widen,10000,13433,10,0,6.6,56,98,16115878,8000000,8115878,1995,1
The Quick and the Dead,Black and White,Action,English,Japan,R,Leonardo DiCaprio,Sam Raimi,29000,29743,0,0,6.4,63,107,18636537,32000000,-13363463,1995,4
The Scarlet Letter,Color,Drama,English,USA,R,Gary Oldman,Roland Joffé,10000,15820,596,943,5.1,34,135,10400000,50000000,-39600000,1995,3
The Usual Suspects,Color,Crime,English,USA,R,Kevin Spacey,Bryan Singer,18000,20821,0,28000,8.6,162,106,23272306,6000000,17272306,1995,6
Things to Do in Denver When You're Dead,Color,Crime,English,USA,R,Steve Buscemi,Gary Fleder,12000,14889,39,0,6.8,52,115,529766,7000000,-6470234,1995,5
To Die For,Color,Comedy,English,USA,R,Kurtwood Smith,Gus Van Sant,1000,3598,835,1000,6.8,59,106,21200000,20000000,1200000,1995,7
Toy Story,Color,Adventure,English,USA,G,Tom Hanks,John Lasseter,15000,19046,487,0,8.3,166,74,191796233,30000000,161796233,1995,5
Under Siege 2: Dark Territory,Color,Action,English,USA,R,Peter Greene,Geoff Murphy,789,2318,14,1000,5.4,47,92,50024083,60000000,-9975917,1995,2
Vampire in Brooklyn,Color,Comedy,English,USA,R,John Witherspoon,Wes Craven,723,2348,0,1000,4.5,34,100,19900000,20000000,-100000,1995,8
Virtuosity,Color,Action,English,USA,R,Denzel Washington,Brett Leonard,18000,20772,32,0,5.5,44,106,24048000,30000000,-5952000,1995,9
Waterworld,Color,Action,English,USA,PG-13,Jeanne Tripplehorn,Kevin Reynolds,711,1004,58,0,6.1,91,176,88246220,175000000,-86753780,1995,10
Welcome to the Dollhouse,Color,Comedy,English,USA,R,Heather Matarazzo,Todd Solondz,529,1502,377,0,7.5,74,88,4771000,800000,3971000,1995,1
A Thin Line Between Love and Hate,Color,Comedy,English,USA,R,Faizon Love,Martin Lawrence,585,3023,0,559,5.6,11,108,34746109,8000000,26746109,1996,6
A Time to Kill,Color,Crime,English,USA,R,Kevin Spacey,Joel Schumacher,18000,31349,541,0,7.4,71,149,108706165,40000000,68706165,1996,11
Albino Alligator,Color,Crime,English,USA,R,Viggo Mortensen,Kevin Spacey,10000,13718,18000,225,6.1,37,97,326308,5000000,-4673692,1996,12
Basquiat,Color,Biography,English,USA,R,Gary Oldman,Julian Schnabel,10000,11459,232,0,6.9,42,108,2961991,3300000,-338009,1996,11
Beavis and Butt-Head Do America,Color,Adventure,English,USA,PG-13,Bruce Willis,Mike Judge,13000,17035,406,0,6.8,63,81,63071133,12000000,51071133,1996,4
Blood and Wine,Color,Crime,English,USA,R,Harold Perrineau,Bob Rafelson,1000,2228,30,145,6.1,42,101,1075288,22000000,-20924712,1996,11
Bogus,Color,Comedy,English,USA,PG,Haley Joel Osment,Norman Jewison,3000,3864,278,350,5.3,15,110,4357000,30000000,-25643000,1996,6
Bottle Rocket,Color,Comedy,English,USA,R,Andrew Wilson,Wes Anderson,387,648,0,0,7.1,83,91,1040879,7000000,-5959121,1996,12
Bound,Color,Crime,English,USA,R,Christopher Meloni,Lana Wachowski,3000,3668,0,2000,7.4,120,109,3798532,4500000,-701468,1996,11
Broken Arrow,Color,Action,English,USA,R,Delroy Lindo,John Woo,848,2913,610,0,6.0,72,108,70450000,50000000,20450000,1996,3
Chain Reaction,Color,Action,English,USA,PG-13,Keanu Reeves,Andrew Davis,18000,31014,99,1000,5.6,47,107,20550712,50000000,-29449288,1996,2
City Hall,Color,Drama,English,USA,R,Al Pacino,Harold Becker,14000,17877,17,309,6.2,50,111,20300000,40000000,-19700000,1996,3
Courage Under Fire,Color,Action,English,USA,R,Denzel Washington,Edward Zwick,18000,33233,380,975,6.6,65,116,58918501,46000000,12918501,1996,6
Daylight,Color,Action,English,USA,PG-13,Sylvester Stallone,Rob Cohen,13000,25126,357,0,5.8,61,114,32885565,80000000,-47114435,1996,4
DragonHeart,Color,Action,English,USA,PG-13,Dennis Quaid,Rob Cohen,2000,2710,357,0,6.4,60,103,51317350,57000000,-5682650,1996,1
Eraser,Color,Action,English,USA,R,Vanessa Williams,Chuck Russell,1000,3454,55,0,6.1,81,115,101228120,100000000,1228120,1996,5
Escape from L.A.,Color,Action,English,USA,R,Steve Buscemi,John Carpenter,12000,15935,0,0,5.7,104,101,25407250,50000000,-24592750,1996,2
Everyone Says I Love You,Color,Comedy,English,USA,R,Natasha Lyonne,Woody Allen,1000,1614,11000,0,6.8,69,101,9714482,20000000,-10285518,1996,9
Evita,Color,Biography,English,USA,PG,Andrea Corr,Alan Parker,57,164,317,0,6.3,76,135,49994804,55000000,-5005196,1996,6
Executive Decision,Color,Action,English,USA,R,Oliver Platt,Stuart Baird,1000,2916,53,0,6.4,60,133,68750000,55000000,13750000,1996,3
Extreme Measures,Color,Crime,English,USA,R,J.K. Simmons,Michael Apted,24000,24547,150,352,6.1,47,118,17305211,38000000,-20694789,1996,3
Eye for an Eye,Color,Crime,English,USA,R,Joe Mantegna,John Schlesinger,1000,3174,154,613,6.1,31,101,53146000,20000000,33146000,1996,4
Faithful,Color,Comedy,English,USA,R,Chazz Palminteri,Paul Mazursky,979,1679,150,69,5.9,21,91,2104000,13000000,-10896000,1996,2
Fled,Color,Action,English,USA,R,Salma Hayek,Kevin Hooks,4000,6152,114,204,5.3,36,105,17100000,25000000,-7900000,1996,3
Flipper,Color,Adventure,English,USA,PG,Paul Hogan,Alan Shapiro,442,616,0,504,5.2,23,95,20047715,25530000,-5482285,1996,2
